500 112471
1 2 4372
1 3 1805
1 4 2033
1 5 4874
1 6 9229
1 7 5973
1 8 3374
1 9 4076
1 10 9248
1 11 3987
1 13 5016
1 14 2463
1 15 7714
1 16 8779
1 17 8025
1 18 2154
1 19 2147
1 20 7562
1 21 5495
1 22 9998
1 23 6960
1 24 5645
1 25 8501
1 26 2087
1 27 1032
1 28 9716
1 29 8656
1 30 9440
1 31 2390
1 32 9576
1 34 9581
1 35 281
1 36 7615
1 38 9131
1 39 3290
1 40 1990
1 41 4739
1 43 3492
1 44 2342
1 45 7697
1 46 7684
1 47 4567
1 48 7432
1 49 3142
1 50 1790
1 52 225
1 54 9899
1 56 9757
1 57 8459
1 58 7940
1 61 3106
1 62 2970
1 63 8288
1 64 324
1 65 3185
1 66 1944
1 67 8729
1 68 1560
1 70 9249
1 71 6460
1 72 5719
1 73 7862
1 74 9817
1 75 8491
1 76 8029
1 77 3730
1 78 626
1 79 8416
1 80 2447
1 81 8252
1 82 1689
1 84 5146
1 86 2049
1 87 6570
1 88 2383
1 89 3653
1 90 8745
1 91 9747
1 92 7907
1 93 3339
1 94 7686
1 95 5041
1 96 8616
1 98 169
1 99 5740
1 100 8906
1 101 1159
1 102 2364
1 103 6199
1 104 5698
1 105 5730
1 107 9797
1 108 788
1 109 3129
1 110 8384
1 111 7351
1 113 2750
1 114 11
1 115 1544
1 116 7514
1 117 9359
1 118 4534
1 119 1431
1 120 9464
1 121 3412
1 122 444
1 123 2933
1 124 6313
1 125 4813
1 126 2922
1 127 3095
1 128 9891
1 129 7683
1 130 507
1 132 8504
1 133 1463
1 134 2999
1 135 7477
1 136 5034
1 137 4839
1 138 2926
1 139 5509
1 140 8319
1 141 7102
1 142 2735
1 143 2212
1 144 9242
1 145 6543
1 146 5704
1 147 9565
1 148 193
1 149 2890
1 150 801
1 151 5808
1 152 9719
1 153 629
1 154 8704
1 155 6414
1 156 5384
1 157 4397
1 158 702
1 159 3352
1 160 9241
1 161 8085
1 162 3156
1 163 8864
1 164 6704
1 165 7370
1 166 747
1 167 6629
1 168 9422
1 169 6693
1 170 1214
1 171 4621
1 172 3411
1 173 4277
1 174 5852
1 175 2139
1 176 338
1 177 1760
1 178 2050
1 179 2355
1 180 2216
1 181 4016
1 182 174
1 183 8962
1 185 4861
1 186 4414
1 188 9061
1 190 2512
1 193 4467
1 194 5574
1 195 1839
1 196 4398
1 197 5553
1 198 7911
1 199 3833
1 200 8765
1 201 2976
1 202 9590
1 203 4421
1 204 1482
1 205 5627
1 207 6268
1 209 461
1 210 980
1 211 7321
1 212 6094
1 213 8834
1 214 7780
1 215 8792
1 216 6383
1 217 8080
1 218 7505
1 220 9402
1 221 3837
1 222 2340
1 223 3727
1 224 4565
1 225 5974
1 226 5096
1 227 2000
1 228 2509
1 229 9727
1 230 2105
1 231 3158
1 233 3339
1 234 4472
1 235 2971
1 236 272
1 237 4073
1 238 9916
1 239 2238
1 240 5760
1 241 8129
1 242 5278
1 243 3519
1 244 8372
1 245 5076
1 246 2628
1 247 5963
1 248 5075
1 249 4399
1 251 5230
1 252 1455
1 253 4615
1 254 3524
1 255 9089
1 256 2622
1 257 3661
1 258 455
1 259 5812
1 260 3817
1 261 6473
1 262 6113
1 263 9053
1 264 9683
1 265 2587
1 266 7441
1 267 8798
1 268 5552
1 269 2130
1 270 5590
1 271 4955
1 272 4580
1 273 5424
1 274 9375
1 275 8223
1 276 9241
1 277 5721
1 278 3281
1 279 1296
1 280 2948
1 281 8571
1 282 8225
1 283 5389
1 284 5302
1 285 3289
1 286 3717
1 287 4112
1 289 7919
1 290 9682
1 291 7103
1 292 6889
1 293 7843
1 294 6310
1 295 6750
1 296 6835
1 297 5658
1 298 8732
1 299 1932
1 300 6303
1 301 3779
1 302 420
1 303 2737
1 304 2078
1 305 2105
1 306 6529
1 307 1099
1 308 5528
1 309 2428
1 310 8704
1 311 6550
1 312 182
1 313 409
1 314 9383
1 315 4245
1 316 8802
1 317 1018
1 319 579
1 320 1509
1 321 3585
1 322 6958
1 323 8797
1 324 9611
1 325 1877
1 326 3836
1 328 728
1 329 9120
1 330 7022
1 331 5797
1 332 3155
1 333 7801
1 334 2486
1 335 5571
1 336 5529
1 337 4937
1 338 9119
1 339 8880
1 340 3490
1 341 4292
1 342 2957
1 343 5758
1 345 408
1 346 3635
1 347 2531
1 348 5296
1 349 9537
1 350 2713
1 351 7588
1 352 5230
1 353 812
1 354 4350
1 355 7612
1 356 4501
1 357 9482
1 359 2414
1 360 6892
1 361 946
1 362 6754
1 363 3183
1 364 7840
1 365 3320
1 366 9140
1 367 5526
1 368 3536
1 370 757
1 371 2065
1 372 892
1 373 4916
1 374 743
1 375 2485
1 376 2620
1 377 2939
1 378 4205
1 379 254
1 380 4290
1 381 2596
1 382 4495
1 383 5414
1 384 7643
1 386 2609
1 387 1604
1 388 8885
1 389 6233
1 390 5744
1 391 4631
1 392 8003
1 393 2267
1 394 4837
1 395 7356
1 396 2253
1 398 4937
1 399 4353
1 400 1275
1 401 7997
