500 44966
1 2 4372
1 7 1805
1 8 2033
1 10 4874
1 11 9229
1 17 5973
1 23 3374
1 26 4076
1 27 9248
1 39 3987
1 40 5016
1 41 2463
1 45 7714
1 48 8779
1 57 8025
1 63 2154
1 66 2147
1 67 7562
1 70 5495
1 73 9998
1 74 6960
1 77 5645
1 79 8501
1 81 2087
1 86 1032
1 87 9716
1 89 8656
1 90 9440
1 93 2390
1 94 9576
1 96 9581
1 110 281
1 111 7615
1 115 9131
1 118 3290
1 121 1990
1 125 4739
1 128 3492
1 129 2342
1 132 7697
1 135 7684
1 137 4567
1 140 7432
1 143 3142
1 146 1790
1 147 225
1 149 9899
1 150 9757
1 153 8459
1 154 7940
1 155 3106
1 159 2970
1 160 8288
1 164 324
1 165 3185
1 167 1944
1 170 8729
1 171 1560
1 175 9249
1 176 6460
1 177 5719
1 179 7862
1 180 9817
1 185 8491
1 186 8029
1 193 3730
1 198 626
1 199 8416
1 200 2447
1 201 8252
1 203 1689
1 205 5146
1 212 2049
1 214 6570
1 215 2383
1 221 3653
1 222 8745
1 226 9747
1 227 7907
1 230 3339
1 235 7686
1 238 5041
1 239 8616
1 240 169
1 245 5740
1 246 8906
1 247 1159
1 248 2364
1 249 6199
1 252 5698
1 254 5730
1 255 9797
1 256 788
1 260 3129
1 261 8384
1 262 7351
1 266 2750
1 267 11
1 281 1544
1 284 7514
1 292 9359
1 294 4534
1 302 1431
1 304 9464
1 305 3412
1 307 444
1 308 2933
1 309 6313
1 311 4813
1 312 2922
1 314 3095
1 321 9891
1 325 7683
1 328 507
1 329 8504
1 332 1463
1 333 2999
1 334 7477
1 340 5034
1 342 4839
1 347 2926
1 355 5509
1 356 8319
1 362 7102
1 363 2735
1 364 2212
1 366 9242
1 367 6543
1 370 5704
1 375 9565
1 376 193
1 377 2890
1 380 801
1 382 5808
1 384 9719
1 399 629
1 400 8704
1 405 6414
1 406 5384
1 407 4397
1 408 702
1 412 3352
1 414 9241
1 417 8085
1 418 3156
1 420 8864
1 421 6704
1 424 7370
1 425 747
1 428 6629
1 433 9422
1 434 6693
1 436 1214
1 439 4621
1 444 3411
1 448 4277
1 453 5852
1 455 2139
1 459 338
1 462 1760
1 465 2050
1 467 2355
1 468 2216
1 474 4016
1 475 174
1 476 8962
1 481 4861
1 482 4414
1 485 9061
1 487 2512
1 489 4467
1 490 5574
1 494 1839
1 496 4398
1 497 5553
1 498 7911
1 499 3833
2 4 8765
2 5 2976
2 11 9590
2 13 4421
2 16 1482
2 17 5627
2 19 6268
2 29 461
2 34 980
2 40 7321
2 42 6094
2 49 8834
2 52 7780
2 53 8792
2 54 6383
2 55 8080
2 58 7505
2 61 9402
2 67 3837
2 74 2340
2 75 3727
2 76 4565
2 77 5974
2 78 5096
2 84 2000
2 88 2509
2 95 9727
2 96 2105
2 97 3158
2 99 3339
2 101 4472
2 102 2971
2 103 272
2 105 4073
2 106 9916
2 107 2238
2 108 5760
2 110 8129
2 111 5278
2 115 3519
2 118 8372
2 120 5076
2 121 2628
2 123 5963
2 125 5075
2 126 4399
2 127 5230
2 129 1455
2 133 4615
2 134 3524
2 135 9089
2 138 2622
2 139 3661
2 143 455
2 144 5812
2 145 3817
2 146 6473
2 147 6113
2 148 9053
2 151 9683
2 157 2587
2 158 7441
2 161 8798
2 162 5552
2 164 2130
2 166 5590
2 169 4955
2 177 4580
2 180 5424
2 181 9375
2 187 8223
2 189 9241
2 193 5721
2 194 3281
2 202 1296
2 204 2948
2 207 8571
2 209 8225
2 210 5389
2 212 5302
2 213 3289
2 214 3717
2 217 4112
2 218 7919
2 220 9682
2 227 7103
2 228 6889
2 229 7843
2 231 6310
2 232 6750
2 234 6835
2 236 5658
2 238 8732
2 244 1932
2 247 6303
2 251 3779
2 255 420
2 256 2737
2 258 2078
2 264 2105
2 265 6529
2 267 1099
2 269 5528
2 270 2428
2 271 8704
2 288 6550
2 290 182
2 291 409
2 293 9383
2 296 4245
2 298 8802
2 300 1018
2 303 579
2 304 1509
2 305 3585
2 307 6958
2 308 8797
2 315 9611
2 316 1877
2 320 3836
2 322 728
2 326 9120
2 327 7022
2 329 5797
2 330 3155
2 333 7801
2 334 2486
2 335 5571
2 341 5529
2 342 4937
2 343 9119
2 345 8880
2 346 3490
2 348 4292
2 349 2957
2 350 5758
2 353 408
2 354 3635
2 360 2531
2 361 5296
2 367 9537
2 368 2713
2 369 7588
2 380 5230
2 381 812
2 386 4350
2 391 7612
2 392 4501
2 399 9482
2 403 2414
2 406 6892
2 413 946
2 415 6754
2 418 3183
2 419 7840
2 422 3320
2 424 9140
2 425 5526
2 426 3536
2 428 757
2 429 2065
2 430 892
2 431 4916
2 437 743
2 438 2485
2 440 2620
2 441 2939
2 443 4205
2 445 254
2 446 4290
2 448 2596
2 450 4495
2 454 5414
2 455 7643
2 457 2609
2 458 1604
2 461 8885
2 465 6233
2 468 5744
2 469 4631
2 470 8003
2 471 2267
2 472 4837
2 474 7356
2 475 2253
2 479 4937
2 480 4353
2 484 1275
2 485 7997
2 486 4076
2 495 6699
2 499 8513
3 5 4848
3 6 7429
3 7 1637
3 8 3611
3 12 7435
3 13 152
3 20 3392
3 23 8389
3 25 3683
3 28 1950
3 29 9824
3 35 7911
3 37 9502
3 38 5951
3 41 7651
3 43 5352
3 53 9940
3 57 2147
3 62 3637
3 69 2069
3 76 4251
3 77 7692
3 80 7196
3 81 7406
3 82 5010
3 83 6837
3 84 3556
3 94 2176
3 99 8378
3 100 5964
3 103 799
3 104 8255
3 105 9285
3 106 6263
3 108 3944
3 109 628
3 116 1651
3 119 8246
3 123 6623
3 124 9704
3 129 6224
3 133 2197
3 135 8973
3 137 4413
3 141 9956
3 142 8023
3 146 4852
3 150 3195
3 151 1166
3 153 8523
3 156 445
3 161 9856
3 162 8933
3 164 5540
3 165 3102
3 167 9055
3 170 9592
3 173 378
3 174 6839
3 175 7859
3 180 812
3 183 5753
3 184 5726
3 185 7334
3 187 8180
3 188 3312
3 189 7779
3 192 3182
3 194 1674
3 197 2968
3 204 6942
3 209 212
3 212 4836
3 215 8687
3 218 5825
3 220 563
3 223 6600
3 233 4898
3 234 9110
3 237 9407
3 244 9094
3 245 7780
3 248 8824
3 251 7646
3 255 1767
3 257 8399
3 259 5351
3 261 3405
3 264 5902
3 265 4418
3 267 478
3 269 3208
3 270 6358
3 276 1748
3 277 5845
3 278 5742
3 280 8162
3 284 2581
3 286 1715
3 289 9317
3 290 40
3 295 9902
3 298 9801
3 301 320
3 303 7347
3 305 6327
3 314 8532
3 318 1426
3 319 358
3 321 6257
3 328 4725
