500 101056
1 4 1641
1 5 230
1 7 7494
1 8 1479
1 9 1884
1 10 9030
1 11 6298
1 12 7747
1 13 8022
1 14 3960
1 15 7396
1 16 4795
1 19 1947
1 20 5681
1 21 8614
1 22 1633
1 23 8331
1 24 9334
1 25 3430
1 26 4093
1 28 3639
1 29 3997
1 30 8209
1 31 6997
1 32 6067
1 33 6743
1 34 4290
1 36 8957
1 37 6140
1 39 5915
1 40 2631
1 42 7335
1 43 6803
1 44 8266
1 47 640
1 48 4955
1 49 7948
1 50 6940
1 51 810
1 52 5013
1 54 8300
1 56 4598
1 59 1449
1 60 9612
1 62 105
1 63 5077
1 64 5012
1 65 2401
1 66 3305
1 67 7290
1 69 4694
1 71 7983
1 73 1777
1 74 1739
1 75 3217
1 76 2842
1 77 7397
1 78 3343
1 79 447
1 80 5353
1 82 4289
1 83 7422
1 85 6057
1 87 574
1 88 1559
1 89 9981
1 90 1921
1 91 6881
1 92 3434
1 94 5991
1 95 1904
1 97 2293
1 98 6363
1 100 697
1 101 2406
1 102 5510
1 103 4784
1 104 1879
1 105 1592
1 106 9665
1 108 5060
1 109 8665
1 110 2823
1 111 5629
1 113 8809
1 114 4951
1 115 7931
1 116 5044
1 117 2582
1 119 4774
1 120 7145
1 121 2899
1 122 1369
1 123 993
1 124 1339
1 125 657
1 126 5564
1 127 862
1 128 3926
1 129 5928
1 131 8675
1 133 8372
1 134 5888
1 135 6403
1 136 7658
1 137 9602
1 138 379
1 139 6934
1 141 1203
1 142 7127
1 143 211
1 144 6026
1 145 4465
1 147 869
1 148 8538
1 149 8189
1 150 7833
1 151 2239
1 152 9531
1 153 3136
1 154 7656
1 155 1865
1 156 645
1 157 7794
1 158 1084
1 162 705
1 163 5639
1 164 9627
1 165 2451
1 166 2817
1 167 8153
1 168 2170
1 169 6533
1 170 7501
1 171 8988
1 172 7395
1 173 6471
1 174 3390
1 175 7001
1 176 7333
1 177 1079
1 178 8376
1 179 1369
1 180 7471
1 181 5558
1 182 3908
1 183 5482
1 184 4153
1 185 8418
1 186 1541
1 189 5336
1 190 7909
1 191 433
1 192 1093
1 193 5986
1 194 3224
1 195 1543
1 196 3957
1 197 354
1 198 1893
1 199 8330
1 200 7836
1 202 9453
1 203 6912
1 205 3954
1 206 7229
1 207 476
1 208 2420
1 209 5750
1 211 977
1 212 5163
1 213 1715
1 214 5172
1 215 7733
1 216 8455
1 217 1441
1 218 6291
1 219 2613
1 220 3837
1 222 2042
1 223 994
1 224 1381
1 225 1189
1 226 2436
1 227 1209
1 228 6631
1 229 7811
1 230 6413
1 231 5608
1 232 2838
1 234 6004
1 236 9708
1 237 6592
1 238 4145
1 239 6331
1 240 4881
1 241 8487
1 242 8272
1 243 1496
1 244 3289
1 245 9322
1 246 3238
1 247 8638
1 249 5186
1 252 2981
1 253 1955
1 254 4085
1 255 8141
1 256 3756
1 257 1607
1 259 4461
1 261 9134
1 262 8689
1 264 9213
1 265 3677
1 266 2908
1 267 9193
1 270 4288
1 271 7567
1 272 837
1 273 118
1 274 5077
1 275 1503
1 276 4692
1 277 3288
1 278 2878
1 279 6669
1 281 7107
1 282 1394
1 283 340
1 284 7211
1 285 3764
1 287 5595
1 288 6819
1 289 6043
1 291 3499
1 292 8158
1 293 8223
1 294 4597
1 295 6639
1 296 4923
1 298 1337
1 299 2860
1 300 6580
1 301 9810
1 302 9735
1 304 4964
1 305 8725
1 307 7566
1 308 9145
1 309 4284
1 310 7547
1 312 1901
1 313 4478
1 314 1126
1 315 3941
1 317 1002
1 318 9791
1 319 5942
1 320 3691
1 322 2722
1 324 6936
1 326 9549
1 327 7850
1 330 9412
1 332 3847
1 333 13
1 334 8727
1 335 531
1 336 3533
1 337 5938
1 338 3162
1 339 6094
1 340 2287
1 341 4740
1 342 9753
1 343 6217
1 344 3110
1 346 8153
1 347 3147
1 348 6627
1 350 3192
1 351 8221
1 352 4648
1 353 3813
1 354 6776
1 355 4495
1 356 918
1 357 1289
1 358 725
1 359 2542
1 360 8131
1 361 7480
1 362 6019
1 363 4173
1 364 3460
1 365 7383
1 367 1727
1 368 5312
1 369 8097
1 370 1512
1 371 7477
1 372 625
1 373 6097
1 375 4861
1 376 1933
1 377 1257
1 378 8048
1 380 4425
1 381 8584
1 382 3336
1 383 8381
1 385 2707
1 387 8823
1 388 9567
1 389 9924
1 390 9548
1 391 8530
1 393 8446
1 394 8452
1 395 7753
1 396 1845
1 398 4477
1 399 779
1 400 7153
1 401 7643
1 402 2025
1 403 7805
1 404 2387
1 406 611
1 408 2047
1 409 3932
1 410 3500
1 411 2051
1 412 7848
1 413 6819
1 414 781
1 415 8962
1 418 5978
1 419 8366
1 421 3833
1 422 3731
1 423 1589
1 424 9006
1 425 5103
1 426 8812
1 427 6447
1 428 1612
1 429 893
1 430 7318
1 431 3956
1 432 9913
1 434 1903
1 437 7585
1 438 4270
1 440 9594
1 441 6503
1 444 1856
1 446 9227
1 447 1389
1 448 3757
1 449 6085
1 450 7571
1 451 9526
1 453 2512
1 454 9301
1 456 8885
1 458 9178
1 459 4991
1 460 8534
1 461 8259
1 464 8195
1 465 549
1 466 6238
1 467 6678
1 469 1686
1 470 1368
1 471 2066
1 472 4604
1 473 7073
1 475 2042
1 476 6759
1 477 593
1 478 1372
1 479 7582
1 480 2939
1 481 8702
1 482 6213
1 483 1336
1 484 6703
1 485 9741
1 486 9704
1 487 9743
1 488 2274
1 489 9893
1 491 7335
1 492 3286
1 493 7581
1 494 8916
1 496 6355
1 497 7584
1 498 7197
1 499 7731
2 3 5344
2 4 1343
2 5 8416
2 6 2345
2 8 5514
2 9 6177
2 10 1952
2 14 4741
2 15 6694
2 16 8723
2 17 5314
2 18 1592
2 20 1204
2 22 7366
2 24 9228
2 25 6383
2 26 9388
2 27 9682
2 28 5606
2 29 6863
2 30 7051
2 31 4545
2 32 8704
2 33 6405
2 35 8353
2 36 2202
2 38 3628
2 39 9198
2 40 9049
2 41 7
2 42 4873
2 43 8398
2 44 3020
2 47 5172
2 48 3366
2 50 6257
2 51 9251
2 52 9991
2 53 3035
2 54 5459
2 55 6869
2 56 2192
2 57 2431
2 58 6974
2 59 7219
2 62 3398
2 63 881
2 65 6111
2 66 6169
2 68 7317
2 69 2536
2 70 2456
2 71 6867
2 72 584
2 73 4622
2 74 4957
2 75 6411
2 77 3303
2 78 1775
2 79 5759
2 80 9738
2 82 101
2 83 1433
2 84 4302
2 85 5484
2 86 4847
2 87 2221
2 88 8155
2 89 473
2 90 2568
2 91 1389
2 92 9771
2 93 5345
2 94 2525
2 95 8553
2 96 9170
2 97 3273
2 100 3277
2 101 6939
2 102 261
2 103 6745
2 104 8230
2 105 2521
2 106 6021
2 110 7236
2 111 8682
2 112 9776
2 114 6717
2 115 8625
2 117 8354
2 118 3191
2 119 9329
2 120 1878
2 121 6055
2 122 5208
2 123 8635
2 124 339
2 125 6132
2 127 6430
2 128 3374
2 129 4254
2 130 1094
2 131 6610
2 133 7803
2 134 6204
2 135 8640
2 136 9813
2 137 4450
2 138 776
2 139 338
2 140 6272
2 141 9812
2 142 5540
2 143 6392
2 144 7253
2 145 8039
2 146 6523
2 147 5903
2 148 3880
2 149 7450
2 151 9197
2 152 8312
2 153 9292
2 155 3045
2 156 6137
2 157 6402
2 159 9134
2 160 98
2 162 3696
2 163 7263
2 164 7201
2 165 7464
2 166 5151
2 167 1503
2 168 8087
2 169 783
2 171 2771
2 172 3520
2 173 2430
2 174 5214
2 175 725
2 176 4047
2 177 4256
2 178 4440
2 180 8657
2 181 706
2 182 4930
2 184 8362
2 185 7706
2 188 9163
2 189 9079
2 191 4412
2 192 6816
2 193 1285
2 194 2178
2 195 8542
2 196 4120
2 197 187
2 198 8564
2 199 3939
2 200 2143
2 201 7007
2 203 8025
2 204 9537
2 205 3865
2 206 6629
2 207 5917
