500 29953
1 2 5816
1 3 1504
1 5 4403
1 6 8893
1 11 4312
1 14 5686
1 15 1649
1 16 5929
1 21 2791
1 27 2087
1 31 8804
1 33 4781
1 46 9069
1 49 6735
1 50 8014
1 57 9773
1 59 8604
1 67 8091
1 68 74
1 69 3407
1 72 7598
1 74 3644
1 76 6824
1 82 7287
1 91 9808
1 93 6230
1 97 9736
1 98 1904
1 99 9264
1 103 436
1 106 1656
1 107 1812
1 108 1196
1 109 9244
1 111 8627
1 112 7702
1 116 4869
1 124 4846
1 130 3538
1 133 7782
1 134 6500
1 136 1566
1 137 1300
1 147 3556
1 148 2701
1 163 6661
1 167 6658
1 169 790
1 172 6654
1 173 310
1 178 2344
1 179 3619
1 181 9069
1 183 4311
1 189 3902
1 196 6333
1 197 3593
1 202 5419
1 206 7922
1 209 8258
1 214 4709
1 217 4956
1 218 3968
1 225 3249
1 227 6257
1 232 1307
1 234 4890
1 235 2886
1 241 5342
1 247 3905
1 265 8181
1 269 2437
1 270 3431
1 271 1599
1 273 4064
1 279 3218
1 282 6088
1 286 4097
1 287 6658
1 293 3415
1 300 9592
1 313 1058
1 323 8591
1 324 1976
1 331 3804
1 332 954
1 338 3432
1 340 4383
1 344 5237
1 345 8601
1 348 4120
1 355 9680
1 356 5185
1 357 2723
1 359 4092
1 360 5474
1 375 6771
1 378 4432
1 379 9816
1 388 3215
1 390 1607
1 392 3208
1 393 1863
1 396 1839
1 400 6121
1 410 2457
1 417 9922
1 436 3396
1 442 6499
1 443 3164
1 447 1472
1 451 3607
1 455 6706
1 457 5876
1 459 9833
1 467 7601
1 477 9315
1 478 657
1 490 8639
1 494 2363
1 496 7402
1 498 4323
1 499 3056
1 500 1659
2 7 8030
2 11 3495
2 14 2119
2 20 9362
2 22 7536
2 24 1626
2 26 3378
2 27 4333
2 28 1455
2 35 3769
2 36 7956
2 41 6621
2 46 5920
2 47 562
2 48 8573
2 56 9816
2 57 6478
2 58 7188
2 59 5824
2 61 4612
2 67 3127
2 70 5881
2 71 3510
2 72 8837
2 77 9918
2 81 5041
2 86 2973
2 87 8341
2 91 9851
2 98 3329
2 103 6418
2 106 955
2 107 5149
2 108 707
2 113 9110
2 125 1885
2 127 8428
2 131 7899
2 134 970
2 137 8073
2 143 3770
2 146 7279
2 154 6318
2 158 8669
2 160 4764
2 167 8599
2 171 6137
2 172 4172
2 176 5373
2 183 8701
2 185 8567
2 186 8108
2 192 5629
2 194 7536
2 196 8689
2 207 8180
2 213 3755
2 224 8298
2 234 6649
2 235 8430
2 237 8286
2 238 8009
2 240 5551
2 243 6187
2 251 2600
2 253 37
2 254 882
2 255 3980
2 264 7474
2 273 9191
2 275 2440
2 276 2973
2 278 7757
2 288 4341
2 302 660
2 306 4402
2 307 296
2 314 254
2 316 4031
2 322 8792
2 343 9071
2 345 1956
2 346 1295
2 350 9895
2 353 1535
2 358 850
2 359 3067
2 363 9652
2 365 2449
2 367 4556
2 368 386
2 369 9636
2 371 3918
2 372 4957
2 381 7040
2 383 5266
2 389 650
2 393 7920
2 404 7338
2 405 9634
2 406 7549
2 416 9549
2 423 7364
2 432 2979
2 435 4625
2 437 6521
2 439 9012
2 444 4281
2 449 3910
2 452 9594
2 457 7853
2 460 5494
2 463 3525
2 464 9780
2 468 1500
2 469 9954
2 481 3779
2 489 3529
2 494 2561
2 496 6913
2 498 6514
3 5 734
3 12 8773
3 14 1231
3 16 351
3 18 5737
3 23 4558
3 24 4515
3 32 5833
3 41 1074
3 43 7200
3 47 1935
3 50 2711
3 55 2280
3 60 6805
3 61 222
3 74 7473
3 75 4660
3 79 9721
3 83 5531
3 85 6507
3 89 5688
3 95 6415
3 120 1284
3 138 9080
3 139 5244
3 141 185
3 144 9755
3 148 1660
3 151 6533
3 161 3401
3 165 2045
3 173 3867
3 177 7726
3 178 3328
3 179 9657
3 183 9275
3 190 5373
3 196 8994
3 197 7437
3 198 167
3 201 1909
3 202 5329
3 203 6790
3 205 832
3 208 7258
3 213 3373
3 220 927
3 221 6914
3 229 2469
3 234 8895
3 251 7594
3 260 2985
3 261 6048
3 265 626
3 267 3212
3 269 9541
3 270 6200
3 272 6329
3 274 1209
3 284 3717
3 291 1839
3 299 4450
3 300 2226
3 303 160
3 309 1853
3 311 5194
3 312 323
3 326 7697
3 328 8804
3 329 614
3 332 1165
3 337 9593
3 346 5428
3 348 426
3 349 1224
3 351 6830
3 355 2271
3 357 6046
3 363 1225
3 368 116
3 382 6974
3 386 317
3 388 3331
3 391 9881
3 392 684
3 393 6326
3 398 5580
3 401 755
3 403 9948
3 404 5022
3 405 1023
3 407 4122
3 409 6068
3 411 855
3 421 420
3 422 9296
3 427 1273
3 428 30
3 433 3005
3 434 5042
3 435 9421
3 437 8560
3 441 6006
3 450 9882
3 451 1336
3 456 5155
3 462 7737
3 466 5575
3 492 5158
4 9 5338
4 19 9168
4 21 9408
4 32 3374
4 33 3434
4 34 6558
4 37 6927
4 42 8317
4 43 7183
4 46 3989
4 51 7370
4 65 5976
4 72 9668
4 74 2190
4 80 3368
4 98 3303
4 104 5792
4 105 2384
4 109 3359
4 113 850
4 117 2719
4 118 2778
4 130 6406
4 134 670
4 139 6376
4 147 1891
4 155 3659
4 156 1340
4 158 8974
4 168 5073
4 176 8333
4 181 5494
4 185 4224
4 188 1118
4 193 2903
4 194 8063
4 197 467
4 203 8962
4 208 7345
4 209 6188
4 214 748
4 220 4184
4 230 7490
4 234 8859
4 235 3228
4 249 4260
4 250 837
4 251 2636
4 253 7594
4 260 7620
4 261 4050
4 265 1248
4 266 3347
4 267 1640
4 270 4192
4 271 8132
4 273 7749
4 274 3549
4 276 2027
4 278 7214
4 282 9056
4 287 3076
4 298 9037
4 301 7878
4 303 7983
4 308 6805
4 313 1358
4 325 4381
4 326 6702
4 327 8496
4 329 9186
4 335 4637
4 338 350
4 341 4574
4 343 3541
4 346 7596
4 352 577
4 355 8450
4 362 5323
4 367 6165
4 372 4087
4 376 4920
4 381 3020
4 386 9699
4 389 5959
4 392 8526
4 394 3869
4 400 5102
4 402 8638
4 408 6366
4 410 2928
4 414 8897
4 417 1328
4 422 7666
4 428 6786
4 433 8062
4 436 2668
4 440 4628
4 444 4168
4 445 1685
4 453 3272
4 455 6528
4 461 7371
4 464 346
4 468 2176
4 471 3961
4 477 5672
4 480 1925
4 482 7580
4 485 968
4 489 8884
4 493 8295
4 495 1305
5 12 4539
5 16 4322
5 17 7335
5 20 6773
5 21 8973
5 34 8977
5 37 5138
5 38 5932
5 48 7259
5 50 5302
5 51 6347
5 55 3918
5 65 698
5 67 5781
5 75 5919
5 78 1953
5 81 8232
5 85 5485
5 89 2969
5 91 3229
5 93 5430
5 95 259
5 100 3179
5 105 3590
5 118 1454
5 121 1356
5 123 5406
5 125 5580
5 126 7265
5 146 3612
5 148 4756
5 151 955
5 152 8331
5 154 5320
5 155 1589
5 158 3273
5 160 6583
5 166 4107
5 168 155
5 170 7395
5 173 5277
5 179 2238
5 180 9332
5 182 2441
5 185 9357
5 188 5126
5 195 1504
5 198 2789
5 201 6251
5 203 3829
5 207 4837
5 209 663
5 213 7705
5 221 8307
5 227 2059
5 228 6805
5 230 4153
5 237 6237
5 245 9434
5 251 8479
5 253 8538
5 261 9380
5 265 7129
5 275 1917
5 278 1159
5 282 7547
5 286 8490
5 288 9411
5 297 678
5 300 924
5 307 952
5 312 7121
5 321 8918
5 326 3860
5 330 8815
5 331 1851
5 333 9901
5 336 9906
5 337 5233
5 348 3792
5 349 5745
5 352 6144
5 355 5171
5 360 475
5 373 7449
5 377 4732
5 378 9928
5 380 8615
5 389 8773
5 391 3181
5 393 52
5 394 3432
5 398 2159
5 402 1268
5 404 600
5 408 22
5 414 1356
5 423 3154
5 429 1723
5 438 2560
5 443 8182
5 444 2948
5 448 3454
5 451 6909
5 455 3479
5 461 9613
5 462 2599
5 473 6246
5 480 5813
5 489 7893
5 491 4314
5 493 7485
5 496 2677
5 499 9211
6 11 7915
6 14 9577
6 15 6160
6 16 2720
6 18 2563
6 22 6003
6 26 3044
6 27 3370
6 34 8451
6 38 93
6 44 6041
6 45 472
6 52 4272
6 55 9363
6 56 2941
6 64 2781
6 65 5783
6 67 695
6 69 9274
6 83 4412
6 87 7187
6 91 768
6 94 6725
6 97 5632
6 102 2928
6 103 6786
6 106 378
6 107 1957
6 117 9889
6 120 4829
6 122 6890
6 123 4575
6 128 6553
6 135 2271
6 141 2983
6 144 8453
6 147 6153
6 160 1536
6 172 9544
6 173 7592
6 175 62
6 177 6299
6 191 1479
6 193 6675
6 198 2409
6 200 6183
6 208 9468
6 213 5224
6 217 7572
6 218 7185
6 223 9087
6 225 3680
6 229 9295
6 231 5861
6 238 5668
6 249 7624
6 257 5761
6 263 4855
6 264 6529
6 265 1865
6 267 348
6 270 4743
6 273 1222
6 274 6649
6 278 5599
6 279 9802
6 280 7070
6 281 6251
6 282 7431
6 286 1821
6 292 5703
6 293 4444
6 302 491
6 303 9438
6 309 1745
6 319 3256
6 326 7665
6 327 7819
6 328 7751
6 329 7571
6 331 9901
6 332 8155
6 333 2166
6 338 2375
6 342 4738
6 343 8455
6 350 7273
6 356 9734
6 358 4071
6 364 3612
6 368 2744
6 370 8206
6 372 4485
6 374 1576
6 376 2800
6 382 1711
6 384 2984
6 385 6125
6 394 6270
6 396 8916
6 398 9442
6 400 5462
6 402 7445
6 403 7385
6 416 6826
6 418 555
6 428 4644
6 432 3162
6 433 6400
6 434 3806
6 435 1516
6 437 6375
6 441 8094
6 442 5231
6 444 3284
6 448 6834
6 451 4578
6 457 2539
6 464 3398
6 466 1536
6 481 3240
6 482 8584
6 483 3923
6 485 3003
6 487 2697
6 489 4120
6 490 5768
6 491 4592
6 495 8584
7 10 8541
7 11 7598
7 13 2106
7 20 1107
7 23 3727
7 25 2404
7 30 5625
7 31 5474
7 36 3177
7 38 8157
7 39 2013
7 40 2208
7 49 8817
7 54 8429
7 65 4848
7 67 6717
7 73 6758
7 74 7000
7 80 1174
7 84 6410
7 89 2611
7 90 8038
7 93 4437
7 97 9923
7 100 1772
7 102 9161
7 106 1148
7 107 778
7 115 1745
7 119 6885
7 123 2870
7 124 5569
7 128 5465
7 130 2091
7 136 2414
7 139 279
7 146 7302
7 150 5756
7 152 8901
7 153 1815
7 156 8415
7 162 3902
7 167 2089
7 172 4034
7 176 6260
7 179 9539
7 185 182
7 188 6500
7 190 8092
7 198 2239
7 209 9334
7 212 5945
7 213 3638
7 214 4780
7 223 5792
7 231 8828
7 239 2472
7 244 669
7 249 8562
7 256 7705
7 257 6710
7 258 2290
7 262 4930
7 264 2731
7 266 9521
7 270 7417
7 275 6445
7 277 6195
7 282 9405
7 287 1425
7 289 4053
7 294 2399
7 297 1404
7 298 3821
7 309 3064
7 312 1999
7 313 4656
7 319 1897
7 323 4380
7 326 1594
7 335 2153
7 337 7089
7 344 2957
7 345 681
7 348 9301
